"4485099|0/1 6/19 1/2 19/36 12/19 13/19 31/38 577/684 7/8 10/11 35/36	so11,11/2 f4,520/19 e8,248/11 e7,133/3"
"329077|0/1 1/4 5/16 26/51 45/88 9/16 25/36 12/17 8/11 155/204 67/88 671/816 145/176 17/18 21/22 65/68 43/44 50/51	su2,1/1 so10,25/1 so10,135/11 e6,390/17"
"413906|0/1 1/4 1/3 3/8 5/12 3/7 13/24 7/12 5/8 2/3 19/28 17/24 3/4 16/21 7/9 19/24 71/84 31/36 7/8 51/56 11/12 23/24 163/168	su2,1/1 sp8,162/7 sp6,35/3 e6,39/2"
"3947658|0/1 7/32 1/4 21/52 5/12 11/24 6/13 15/32 1/2 259/416 5/8 17/26 2/3 65/96 283/416 11/16 17/24 37/52 23/32 3/4 32/39 5/6 27/32 269/312 363/416 7/8 137/156 47/52 29/32 11/12 287/312 89/96 387/416 15/16 23/24 25/26 31/32 51/52	su2,1/1 sp8,288/13 so7,49/4 so12,11/1 so10,5/1"
"1448465|0/1 3/13 1/4 15/52 3/8 25/52 1/2 7/13 31/52 63/104 5/8 69/104 9/13 19/26 3/4 41/52 4/5 5/6 11/13 89/104 6/7 7/8 95/104 49/52 101/104 51/52	su4,3/1 su2,1/1 sp6,189/13 so10,21/1 e8,248/7"
"2191497|0/1 21/64 3/8 26/63 5/12 37/84 4/7 13/21 5/8 2/3 5/7 2987/4032 143/192 3/4 49/64 1033/1344 397/504 19/24 137/168 209/252 215/252 6/7 8/9 403/448 53/56 1273/1344 83/84 167/168 191/192	su6,5/1 so7,63/8 e6,78/7 e6,234/7"
"375036|0/1 4/21 1/4 3/7 37/84 26/57 10/21 12/19 86/133 57/88 19/28 161/228 61/84 16/21 328/399 1549/1848 6/7 67/76 353/399 477/532 79/88 124/133 56/57	su3,32/7 su2,1/1 e7,266/11 e6,546/19"
"1521603|0/1 7/32 1/4 2/5 5/12 7/16 15/32 1/2 57/100 3/5 99/160 13/20 21/32 2/3 11/16 23/32 3/4 631/800 49/60 131/160 41/50 67/80 27/32 17/20 41/48 139/160 9/10 29/32 11/12 15/16 31/32 97/100 74/75	su5,4/1 su2,1/1 so7,7/2 so7,49/4 e7,931/25"
"528391|0/1 3/13 15/52 1/3 3/8 13/33 1/2 6/11 22/39 31/52 63/104 97/156 268/429 69/104 1171/1716 9/13 17/24 8/11 19/26 203/264 111/143 41/52 5/6 477/572 28/33 29/33 59/66 81/88 145/156 293/312 137/143 101/104 65/66 1699/1716 311/312 3431/3432	su4,3/1 su3,2/1 sp6,189/13 e6,390/11"
"435076|0/1 21/80 37/132 7/20 2/5 5/11 1/2 1433/2640 3/5 49/80 104/165 7/11 53/80 449/660 631/880 103/132 35/44 177/220 17/20 47/55 69/80 581/660 2357/2640 791/880 9/10 14/15 2489/2640 19/20 21/22 217/220	su6,175/11 sp8,24/1 so7,21/2"
