"1427782|0/1 3/44 2/11 7/22 15/44 3/8 17/44 39/88 11/24 1/2 139/264 6/11 49/88 25/44 169/264 29/44 15/22 61/88 63/88 8/11 3/4 67/88 205/264 35/44 211/264 9/11 5/6 37/44 223/264 19/22 7/8 39/44 119/132 10/11 81/88 23/24 35/36	su4,3/1 su2,27/11 so8,140/11 so12,88/3"
"4300050|0/1 3/40 3/16 1/5 21/80 3/8 31/80 45/104 1/2 33/65 9/16 23/40 3/5 129/208 329/520 11/16 723/1040 7/10 61/80 63/80 21/26 853/1040 7/8 71/80 12/13 97/104 19/20 25/26 207/208 519/520	su2,3/2 su2,12/5 so11,11/2 so10,225/13"
"1723705|0/1 4/21 1/4 2/5 3/7 37/84 10/21 6/11 62/105 3/5 13/21 13/20 19/28 61/84 170/231 16/21 83/105 35/44 17/21 9/11 29/35 353/420 17/20 6/7 73/84 92/105 52/55 75/77 911/924	su5,4/1 su3,32/7 su2,1/1 f4,104/11 e6,78/7"
"1472848|0/1 1/5 21/104 7/30 3/8 5/13 2/5 209/520 13/30 679/1560 6/13 7/15 1/2 8/15 23/40 15/26 38/65 313/520 73/120 241/390 19/30 991/1560 43/65 1043/1560 271/390 7/10 73/104 11/15 1147/1560 79/104 31/40 101/130 81/104 51/65 4/5 97/120 158/195 319/390 1303/1560 87/104 101/120 166/195 349/390 9/10 469/520 109/120 179/195 14/15 1459/1560 1549/1560 194/195	su4,3/1 so8,84/5 so7,168/13 g2,42/5"
"4148638|0/1 1/16 1/6 1/4 5/16 5/12 45/104 103/208 1/2 15/28 9/16 4/7 67/112 187/312 5/8 71/112 2/3 71/104 11/16 59/84 35/48 31/42 155/208 3/4 19/24 13/16 95/112 265/312 7/8 99/112 11/12 12/13 97/104 15/16 25/26 27/28 705/728 47/48 205/208 207/208	su2,5/2 so8,16/1 so10,5/1 so10,225/13"
"4451979|0/1 9/32 2/7 1/2 127/224 4/7 5/8 2/3 35/48 3/4 25/32 11/14 191/224 7/8 51/56 91/96	so9,81/4 so11,55/4 so11,11/2 g2,6/1"
"4807558|0/1 3/14 15/56 7/22 1/2 41/77 31/56 361/616 9/14 15/22 5/7 8/11 3/4 43/56 9/11 537/616 69/77 15/16 145/154 585/616 74/77 27/28 613/616	sp6,15/1 so8,140/11 so12,6/1 e8,31/2"
"746558|0/1 2/9 1/4 1/3 45/128 2/5 17/36 1/2 5/9 661/1152 7/12 3/5 77/128 28/45 13/20 263/384 13/18 11/15 3/4 481/640 25/32 29/36 37/45 949/1152 5/6 17/20 109/128 157/180 8/9 9/10 1045/1152 14/15 359/384 609/640 43/45 35/36 5609/5760 59/60	su3,4/1 su3,2/1 su2,1/1 sp4,4/1 so10,45/2"
"2855066|0/1 3/32 3/16 1/4 11/32 7/16 11/24 15/32 1/2 17/32 53/96 9/16 19/32 5/8 31/48 11/16 17/24 23/32 3/4 25/32 77/96 27/32 43/48 29/32 89/96 15/16 23/24 31/32 35/36 95/96	su2,9/4 su2,9/4 so7,7/2 so12,88/3"
"2817151|0/1 3/28 1/4 2/7 5/14 7/16 1/2 33/64 15/28 61/112 4/7 17/28 279/448 9/14 19/28 11/16 81/112 3/4 49/64 11/14 89/112 359/448 23/28 6/7 391/448 61/64 27/28 109/112	su2,15/7 so8,16/1 so7,7/2 so12,99/4"
"3046254|0/1 1/16 1/6 5/16 3/8 3/7 7/16 33/68 55/112 1/2 13/24 149/272 9/16 25/42 133/204 2/3 11/16 5/7 35/48 83/112 87/112 217/272 13/16 6/7 117/136 7/8 37/42 435/476 103/112 251/272 13/14 15/16 1859/1904 67/68 111/112	su2,5/2 so8,4/1 so7,6/1 so12,462/17"
"271040|0/1 1/6 1/4 3/8 5/12 33/64 5/8 2/3 131/192 57/80 3/4 49/64 211/240 57/64 9/10 11/12 179/192 77/80	su3,5/1 su2,1/1 so12,99/4 e7,133/10"
"2255869|0/1 21/88 5/12 37/84 5/11 45/88 6/11 26/45 173/264 2/3 1255/1848 5/7 8/11 3/4 69/88 4/5 3233/3960 115/132 827/924 239/264 81/88 245/264 1759/1848 587/616 21/22 127/132 85/88 911/924 87/88 179/180	su6,5/1 so7,126/11 so10,135/11 e6,78/5"
"1938738|0/1 3/40 1/5 1/4 13/40 45/128 3/8 2/5 45/112 273/640 9/20 19/40 267/560 353/640 3/5 77/128 337/560 5/8 13/20 73/112 27/40 433/640 29/40 93/128 407/560 3/4 481/640 675/896 31/40 87/112 25/32 4/5 513/640 449/560 33/40 529/640 3711/4480 17/20 477/560 137/160 19/20 609/640 4271/4480 125/128 157/160	su5,4/1 su2,12/5 su2,1/1 so10,45/2 so10,135/7"
"3368211|0/1 1/12 2/9 5/12 1/2 9/16 7/12 31/48 2/3 13/18 113/144 6/7 7/8 11/12 79/84 23/24 35/36 47/48	su2,7/3 so9,9/2 so11,11/2 e8,248/7"
"2546293|0/1 1/4 7/16 4/9 1/2 7/12 3/5 11/16 25/36 3/4 7/9 5/6 17/20 127/144 14/15 15/16 17/18	su2,1/1 so9,8/1 so7,7/2 so11,22/1 f4,26/5"
"524411|0/1 3/44 2/11 37/120 1/3 15/44 3/8 497/1320 53/132 39/88 647/1320 1/2 17/33 6/11 49/88 25/44 77/120 857/1320 89/132 15/22 41/60 7/10 17/24 937/1320 63/88 124/165 169/220 205/264 35/44 97/120 1087/1320 5/6 37/44 1127/1320 571/660 7/8 1157/1320 29/33 97/110 235/264 119/132 81/88 83/88 1297/1320 1307/1320	su6,14/1 su4,3/1 su3,2/1 su2,27/11"
"3838791|0/1 1/4 9/22 15/32 1/2 5/8 7/11 29/44 2/3 23/32 3/4 9/11 7/8 309/352 39/44 10/11 11/12 31/32	su2,1/1 so9,144/11 so10,5/1 so10,15/1 e6,6/1"
"1123536|0/1 3/8 3/7 1/2 13/24 2/3 3/4 45/56 6/7 11/12 13/14 163/168	su4,3/1 f4,130/7 e6,6/1 e6,39/2"
"673730|0/1 3/16 7/24 1/3 2/5 23/48 1/2 25/48 47/80 5/8 2/3 11/16 83/120 11/15 19/24 4/5 13/16 5/6 41/48 13/15 7/8 211/240 9/10 221/240 23/24 79/80	su3,2/1 su2,3/2 sp6,7/1 f4,104/5"
"192402|0/1 5/16 21/64 3/8 5/12 5/8 41/64 2/3 11/16 143/192 3/4 49/64 19/24 13/16 10/11 15/16 191/192	su4,5/1 so7,63/8 e8,248/11"
"237740|0/1 7/30 5/11 8/15 7/12 2/3 227/330 35/44 49/60 9/11 9/10 163/165	sp8,16/1 so8,84/5 so11,10/1"
"1651967|0/1 7/40 1/4 4/15 3/10 2/5 17/40 53/120 19/40 31/60 11/20 17/30 23/40 3/5 13/20 2/3 27/40 83/120 7/10 29/40 89/120 31/40 4/5 49/60 33/40 101/120 17/20 13/15 7/8 9/10 11/12 37/40 14/15 113/120 19/20 29/30 39/40 119/120	su5,4/1 su3,16/5 su2,1/1 so9,96/5 so7,14/1"
"2702692|0/1 1/4 7/18 7/16 1/2 15/28 4/7 23/36 2/3 19/28 11/16 3/4 11/14 23/28 119/144 5/6 6/7 8/9 11/12 233/252 13/14 15/16 121/126 27/28 109/112	su2,1/1 so8,28/3 so8,16/1 so7,7/2 e7,19/1"
"2307020|0/1 3/40 4/21 1/5 1/4 223/840 13/40 45/136 3/8 41/105 69/170 5/12 3/7 37/84 9/20 10/21 59/120 141/280 433/840 1489/2856 361/680 463/840 95/168 79/136 2129/3570 3/5 17/28 37/60 5/8 22/35 53/84 269/420 223/340 2/3 71/105 19/28 191/280 29/42 12/17 593/840 5/7 10301/14280 61/84 25/34 305/408 723/952 2203/2856 531/680 2305/2856 551/680 839/1020 993/1190 6043/7140 3149/3570 320/357 661/714 633/680 159/170 893/952 1933/2040 65/68 4567/4760 2747/2856 13871/14280 67/68 407/408	su6,5/1 su3,32/7 su2,12/5 su2,1/1 so10,405/17"
"1103287|0/1 1/4 7/24 7/20 3/8 1/2 35/68 13/24 3/5 5/8 77/120 2/3 29/40 3/4 13/17 19/24 329/408 14/17 17/20 147/170 7/8 121/136 107/120 11/12 39/40	su4,3/1 su2,1/1 sp6,7/1 sp6,21/5 so11,440/17"
"1717107|0/1 1/4 7/24 2/5 21/52 6/13 1/2 13/24 3/5 5/8 13/20 17/26 2/3 83/120 217/312 37/52 57/80 3/4 235/312 209/260 17/20 56/65 7/8 107/120 9/10 47/52 11/12 113/120 295/312 25/26 77/80 51/52	su5,4/1 su2,1/1 sp8,288/13 sp6,7/1 e7,133/10"
"13016|0/1 1/4 4/15 1/3 31/60 7/12 3/5 2/3 17/20 10/11 11/12 14/15	su3,2/1 su3,16/5 su2,1/1 e8,248/11"
"4066208|0/1 4/21 1/4 2/7 3/7 37/84 10/21 1/2 15/28 35/64 4/7 5/8 2/3 19/28 29/42 5/7 61/84 991/1344 3/4 16/21 11/14 51/64 137/168 23/28 373/448 6/7 7/8 51/56 11/12 13/14 79/84 27/28 437/448 41/42 1327/1344	su3,32/7 su2,1/1 so11,385/16 so10,5/1 g2,6/1"
"242509|0/1 1/4 7/18 11/24 23/36 2/3 35/52 11/16 17/24 5/6 61/72 8/9 11/12 12/13 15/16	su2,1/1 so8,28/3 so12,11/1 so11,220/13"
"1032284|0/1 1/3 3/8 5/12 37/84 1/2 7/12 2/3 17/24 5/7 3/4 65/84 7/9 19/24 137/168 5/6 6/7 31/36 11/12 79/84 23/24	su6,5/1 su4,3/1 sp8,16/1 sp6,35/3"
"2377166|0/1 21/104 5/13 21/52 5/12 45/104 37/84 6/13 61/104 193/312 33/52 1403/2184 69/104 2/3 5/7 3/4 10/13 81/104 125/156 85/104 32/39 901/1092 87/104 461/546 11/13 265/312 271/312 1907/2184 137/156 93/104 985/1092 667/728 12/13 99/104 25/26 51/52	su6,5/1 so7,168/13 so7,168/13 so10,225/13"
"765818|0/1 2/9 1/4 1/3 17/36 1/2 5/9 7/12 19/28 57/80 3/4 29/36 5/6 6/7 8/9 9/10 227/252 13/14 673/720 77/80	su3,4/1 su3,2/1 su2,1/1 e7,19/1 e7,133/10"
"4082427|0/1 3/44 2/11 37/120 15/44 497/1320 33/68 647/1320 1/2 6/11 207/374 25/44 5/8 857/1320 499/748 15/22 61/88 7/10 169/220 1619/2040 35/44 71/88 97/120 309/374 37/44 1127/1320 19339/22440 7/8 1157/1320 97/110 14/15 83/88 85/88 21889/22440 67/68 1307/1320	su6,14/1 su2,27/11 so12,462/17 so10,5/1"
"264709|0/1 1/6 1/4 9/26 3/8 5/12 1/2 20/39 31/52 13/21 5/8 2/3 9/13 75/104 3/4 119/156 10/13 11/14 11/13 6/7 67/78 73/84 7/8 11/12 73/78 49/52 527/546 101/104 167/168	su3,5/1 su2,1/1 su2,1/1 so9,216/13 e6,78/7"
"3861722|0/1 2/9 1/4 17/36 1/2 13/24 5/9 3/5 5/8 13/18 3/4 55/72 19/24 29/36 37/45 61/72 17/20 7/8 8/9 35/36	su3,4/1 su2,1/1 so10,5/1 f4,26/5 e6,39/2"
"2509060|0/1 1/4 7/20 7/16 1/2 15/28 11/20 4/7 3/5 11/16 3/4 63/80 4/5 17/20 31/35 9/10 129/140 27/28 109/112 79/80	sp6,21/5 so8,16/1 so7,7/2 so12,22/1"
"1042620|0/1 1/6 1/4 3/8 26/63 5/12 7/16 1/2 13/24 4/7 73/126 29/48 5/8 167/252 2/3 11/16 31/42 3/4 397/504 19/24 13/16 23/28 209/252 857/1008 41/48 7/8 8/9 115/126 11/12 15/16 53/56 481/504 47/48 83/84	su4,3/1 su3,5/1 su2,1/1 so7,7/2 e6,234/7"
"1811137|0/1 7/24 2/5 1/2 21/40 3/5 5/8 21/32 2/3 83/120 3/4 19/24 49/60 107/120 9/10 37/40 91/96	su5,4/1 sp8,27/2 sp8,18/1 so8,14/1"
"2367390|0/1 3/40 1/5 1/4 21/80 13/40 27/80 3/8 5/12 45/104 37/84 9/20 37/80 59/120 1/2 33/65 41/80 433/840 23/40 47/80 3/5 37/60 5/8 329/520 51/80 269/420 2/3 27/40 163/240 71/104 29/42 723/1040 7/10 1181/1680 57/80 5/7 89/120 3/4 181/240 197/260 643/840 801/1040 1307/1680 221/280 19/24 4/5 21/26 137/168 33/40 265/312 17/20 69/80 13/15 7/8 211/240 459/520 71/80 187/210 931/1040 1517/1680 32/35 19/20 39/40	su6,5/1 su2,12/5 su2,1/1 so7,21/2 so10,225/13"
"165735|0/1 3/44 2/11 9/28 15/44 30/77 155/308 6/11 3/5 9/14 51/77 147/220 219/308 5/7 43/55 241/308 35/44 127/154 267/308 69/77 129/140 207/220 303/308 381/385	su2,27/11 so9,18/1 f4,26/5"
"408165|0/1 1/12 2/9 1/4 1/3 3/8 5/12 33/76 11/24 15/32 17/36 1/2 59/114 53/96 7/12 43/72 5/8 449/684 2/3 13/19 199/288 17/24 23/32 13/18 175/228 19/24 77/96 123/152 61/72 97/114 7/8 85/96 407/456 549/608 155/171 11/12 71/76 271/288 18/19 23/24 31/32 35/36 1799/1824	su2,7/3 su2,1/1 su2,1/1 sp6,21/2 so12,594/19"
"449063|0/1 3/32 1/4 3/10 63/160 15/32 11/20 3/5 5/8 2/3 111/160 23/32 3/4 73/96 123/160 17/20 7/8 11/12 37/40	su2,9/4 so9,96/5 so11,275/14"
"1246610|0/1 21/64 1/3 3/8 1/2 13/21 5/8 127/192 2/3 45/64 17/24 3/4 49/64 7/9 53/64 5/6 6/7 7/8 1273/1344 20/21 23/24 167/168 191/192	su4,3/1 so7,63/8 g2,14/3 e6,78/7"
"988954|0/1 3/44 2/11 7/32 101/352 3/10 1/3 15/44 81/220 141/352 53/132 5/12 53/110 16/33 1/2 17/33 83/160 6/11 53/96 197/352 25/44 1033/1760 79/132 3/5 655/1056 19/30 141/220 2/3 147/220 89/132 15/22 1233/1760 463/660 43/60 23/32 775/1056 97/132 3/4 25/33 269/352 43/55 259/330 277/352 35/44 4/5 269/330 9/11 131/160 5/6 37/44 93/110 28/33 1513/1760 191/220 29/33 1561/1760 943/1056 593/660 317/352 119/132 41/44 207/220 127/132 643/660 54/55	su3,2/1 su2,27/11 so9,96/5 so7,49/4"
"2682951|0/1 3/32 3/20 39/160 1/4 11/32 2/5 7/16 15/32 79/160 1/2 35/68 17/32 47/80 19/32 331/544 99/160 13/20 113/170 109/160 11/16 23/32 119/160 3/4 2063/2720 13/17 25/32 14/17 67/80 27/32 467/544 139/160 9/10 29/32 311/340 499/544 149/160 15/16 259/272 31/32 331/340 535/544 159/160	su2,9/5 su2,9/4 su2,1/1 so7,7/2 so11,440/17"
